,Unnamed: 0,Title,Genre,Network,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
11,11,My Fellow Citizens,"['comedy', 'crime']",KBS2,"This drama tells the story of a con man, who gets involved with unexpected incidents, marries a police officer and somehow ends up running to become a member of the National Assembly.",2019.0,,,,,"Si Won Choi, Suk-ho Jun, Hae-yeon Kil, Eui-sung Kim"
12,12,The Banker,['drama'],MBC,"This drama is based on the Japanese manga “Kansayaku Nozaki Shuhei” which was written by “Ryouka Shuu” and illustrated by “Shigeru Noda” from 1998 to 2002.It’s tell the story of a bank auditor pursues justice and policy changes at a time when an economic bubble is collapsing. No Dae Ho (Kim Sang Joong) is an honest and sincere man. He works as a branch manager of Daehan Bank which is located in a small city. The branch is on a soon to be shutdown list. Surprisingly, No Dae Ho is promoted to an auditor at the bank’s headquarters in Seoul. No Dae Ho then faces corruption at the bank.",2019.0,,,,,"Nae-sang Ahn, Woo-yeon Ahn, In-ha Cha, Shi-ra Chae"
13,13,Eulachacha Waikiki (Season 2),['comedy'],jTBC,"This drama depicts the friendships, love and dreams of young people. It’s the second season of popular sitcom “Eulachacha Waikiki (season 1)”.Lee Joon Ki (Lee Yi Kyung) is an unpopular actor. He runs the guest house Waikiki, but the guest house is facing bankruptcy. To revive the guest house, Lee Joon Ki drags his friends Cha Woo Sik (Kim Sun Ho) and Kook Ki Bong (Shin Hyun Soo), who all graduated from the same high school, to invest in the guest house.Cha Woo Sik is a picky person and he wants to become a singer. Due to Lee Joon Ki, he puts all his money into Waikiki. Kook Ki Bong used to be a promising baseball player, but he now plays in the minor leagues. Due to Lee Joon Ki, he also puts all his money into Waikiki. Along with these 3 men, Han Soo Yeon (Moon Ga Young), Kim Jung Eun (Ahn So Hee) and Cha Yoo Ri (Kim Ye Won) all begin to live at Waikiki.",2018.0,8.3,,481.0,,"Won-Hee Go, In-sun Jung, Jung-hyun Kim, Yi-Kyeong Lee"
14,14,Mother of Mine,['family'],KBS2,"This drama is about a story of a mother and three daughters living in modern day Korean society. The drama conveys a message about the low fertility rate, divorce rate, and the problems of the younger generation who are avoiding marriage.Park Sun Ja (Kim Hae Sook) is an ordinary Korean mother who owns a small rice house, she has three daughters, a drunk husband, who resorts to alcohol, has a toxic mother-in-law and endless difficulties with money. But despite all the hardships, she does everything possible for the future of her children, so that they do not repeat her fate, and sends everyone to study at the university.",2019.0,,,,,"Myeong-Gil Choi, Jong-hyeon Hong, Tae-young Ki, Ha-Kyung Kim"
15,15,Confession,['mystery'],tvN,"This drama tell the story of Choi Do Hyun (Lee Joon Ho), who becomes a lawyer in order to clear his father’s name after he has been wrongly accused of murder.",2012.0,7.1,,6918.0,119 min,"Byung-gil Jung, Jae-yeong Jeong, Shi-hoo Park, Hae-Kyun Jung, Yeong-ae Kim"
16,16,Kill It,"['thriller', 'action']",OCN,"This drama is about a veterinarian killer who saves animals, and a detective who saves people.",2019.0,8.4,,27.0,,"David Lee McInnis, Jin-Ah Im, No Jeong-ee, Il-Joo Ji"
17,17,Doctor Prisoner,['medical'],KBS2,This drama tell the story of a skilled doctor who is forced to quit the hospital after being accused of medical malpractice. He starts working in a prison with the goal of acquiring enough connections to take his revenge.,,,,,,
18,18,He Is Psychometric,"['comedy', 'mystery', 'romantic', 'fantasy']",tvN,"Lee Ahn (Park Jin Young) has the ability to read one’s secrets when he touches someone and he decides to use it to take bad people down. While he doesn’t know how to control his power yet, he meets Yoon Jae In (Shin Ye Eun), a woman who tries her best to hide her secrets. They will team up to solve cases.",2019.0,8.3,,40.0,,"Hyo-Seob Eom, Eui-soo Jang, Mi-seon Jeon, Byeong-gyu Jo"
19,19,Big Issue,"['thriller', 'romantic', 'fantasy']",SBS,"This drama is about the story of a paparazzo who chases after celebrity scandals.Due to a controversial photo, Han Suk Joo (Joo Jin Mo) loses everything, including his prestigious job as a photographer for a top newspaper and his family. Meanwhile, Ji Soo Hyun (Han Ye Seul), the notorious chief editor of a paparazzi group, tries to recruit Han Suk Joo to become a paparazzi photographer at her company.",2019.0,,,,,"Song-hyeon Choi, Kim Gyu-Sun, Ye-seul Han, Jin-mo Ju"
20,20,Possessed,"['horror', 'comedy']",OCN,"Hong Seo Jung (Go Joon Hee) lives a lonely life, sheltered and away from others because she is a psychic medium. But her quiet life comes to an end when Kang Pil Sun (Song Sae Byuk), a police detective in the middle of a case, discovers her hidden ability. They decide to join forces to solve all kind of cases, using his investigation skills and her special abilities.",2019.0,7.9,,64.0,,"Daniel Joey Albright, Hyuk-jin Jang, Han Sun Jo, Ji-Hoon Jung"
