,Unnamed: 0,Title,Genre,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
81,81,The Bugs Bunny Show,"['animation', 'comedy']","Bugs Bunny, the famous, Oscar-winning cartoon rabbit, hosts his first weekly television series, along with all his fellow Warner Brothers cartoon stars, including Daffy Duck, Porky Pig, ...                See full summary »",19601975,8.6,,27606.0,30 min,"Mel Blanc, June Foray, Jim Backus, Bea Benaderet"
82,82,Alfred Hitchcock Presents,"['crime', 'drama', 'mystery']","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",19551962,8.6,,12867.0,25 min,"Alfred Hitchcock, Harry Tyler, John Williams, Patricia Hitchcock"
83,83,Narcos: Mexico,"['crime', 'drama']",The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.,2018,8.5,,29870.0,50 min,"Diego Luna, Scoot McNairy, Michael Peña, Alyssa Diaz"
84,84,Mindhunter,"['crime', 'drama', 'thriller']","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",2017,8.5,,116264.0,60 min,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross"
85,85,BoJack Horseman,"['animation', 'comedy', 'drama']","BoJack Horseman was the star of the hit TV show ""Horsin' Around"" in the '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",2014,8.5,,68149.0,25 min,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul"
86,86,Outlander,"['drama', 'fantasy', 'romance']",An English combat nurse from 1945 is mysteriously swept back in time to 1743.,2014,8.5,,90768.0,64 min,"Caitriona Balfe, Sam Heughan, Duncan Lacroix, Tobias Menzies"
87,87,The Knick,['drama'],A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,20142015,8.5,,38835.0,58 min,"Clive Owen, André Holland, Jeremy Bobb, Juliet Rylance"
88,88,American Crime Story,"['biography', 'crime', 'drama']",An anthology series centered around America's most notorious crimes and criminals.,2016,8.5,,65917.0,42 min,"Sterling K. Brown, Kenneth Choi, Christian Clemenson, Cuba Gooding Jr."
89,89,Silicon Valley,['comedy'],"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",2014,8.5,,101326.0,28 min,"Thomas Middleditch, T.J. Miller, Josh Brener, Martin Starr"
90,90,Hannibal,"['crime', 'drama', 'horror']","Explores the early relationship between the renowned psychiatrist and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers.",20132015,8.5,,200381.0,44 min,"Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne"
