,Unnamed: 0,Title,Genre,Network,Summary
48,48,Priest,"['Supernatural', 'Thriller', 'Horror', 'Medical']",OCN,oh soo min yun woo jin is a dutiful young catholic priest filled with energy he is a member 643 regia the group performs exorcisms unofficially in the past his own mother was possessed by a devil she could not receive an exorcism and she consequently died after that oh soo min was taught by priest moon ki sun park yong woo on how to perform exorcisms moon ki sun is the person who formed 643 regiameanwhile ham eun ho jung yoo mi became a doctor after her family went through an unfortunate accident she wants to save the lives of people now ham eun ho works in the emergency room of a hospital ham eun ho does not believe in god but she witnesses a supernatural phenomenon and meets priest oh soo min she faces a big change in her life
49,49,Sky Castle,"['Family', 'Comedy']",jTBC,the drama is set in a fourstory apartment building in seoulâ€™s suburbs which is inhabited by some professionals such as judges prosecutors doctors professors and their wivesit will depict their efforts to have their children admitted into good universities some grew up in families with many generations of doctors or lawyers thus their ambitions will be shown with comedy and realism
50,50,Children of Nobody,"['Mystery', 'Thriller']",MBC,this drama is about a woman whose life suddenly falls apart due to an accident too sudden to prevent becoming involved in several incidents as she searches for the truthcha woo kyung kim sun ah works as a childrenâ€™s counselor in a childrenâ€™s center she has it all her life is perfect she enjoys her job she is married to a gentle and caring husband and is pregnant with her second child it all changes when suddenly an accident changes her life from that point forward she will have to face several incidents and end up discovering the truthmeanwhile kang ji hun lee yi kyung works as a detective he firmly believes that criminals should be punished by law he suffers a lot because of a traumatic past that he doesnâ€™t want to talk about
51,51,The Last Empress,"['Fantasy', 'Suspense', 'Romance']",SBS,in an alternatereality south korea where a constitutional monarchical system prevails oh sunny jang na ra a musical actress becomes the empress of the country thus begins a dispute for power in the royal palace nothing is what it seems and oh sunny is ready to fight until the end to uncover a mysterious homicide within the royal palace fighting to protect those she loves the most and obtain happiness
52,52,Top Star Yoo Baek,"['Romance', 'Comedy']",tvN,yoo baek kim ji suk is a former idol star who became a household name as an actor but heâ€™s a vain unapologetic narcissist when he gets into some major trouble he is exiled to a remote island for a little image damage control in for the culture shock of his life far from civilization he falls for a local island girl oh kang soon jeon so min
53,53,Godâ€™s Quiz (Season 5),"['Medical', 'Crime', 'Mystery']",OCN,nan
54,54,Feel Good To Die,"['Fantasy', 'Office', 'Romance', 'Comedy']",KBS2,this drama is based on webcomic â€œjookeodo joaâ€ by â€œê³¨ë“œí‚¤ìœ„ìƒˆ  goldkiwisaeâ€ which was published from 2015april7 to 2016october25 via â€œwebtoondaumnetâ€œlee roo da baek jin hee tries to reform her boss baek jin sang kang ji hwan to become a better person and a better bossbaek jin sang is a team leader of a company the team members including lee roo da do not like him at all he is mean and arrogant to the employees he always believes he is right on the night of april 14th lee roo da has a dream of her boss being hit by a truck the next morning she wakes up and finds that it is still april 14thâ€¦
55,55,Eun Jooâ€™s Room,"['Romance', 'Comedy']",Oâ€™live,nan
56,56,Mama Fairy and the Woodcutter,"['Fantasy', 'Romance', 'Comedy']",tvN,this is a 100 preproduced drama that is based on webtoon â€œê³„ë£¡ì„ ë…€ì „tale of gyeryong fairyâ€ by â€œëœë°°  dol baeâ€ which was first published from 2017march1 via â€œcomicnavercomwebtoonâ€œsun ok nam moon chae won is a fairy who came down from heaven during the goryeo period and took a bath at a waterfall on gyeryong mountain while she took the bath a woodcutter took her winged fairy clothes and hid them because of this she could not return to heaven she ended up marrying the woodcutter and they had two children together but then her husband died from falling off of a cliff she tried to find her fairy clothes but couldnâ€™t so she decides to wait for husband to be reincarnatednow in the present day sheâ€™s 699 years old and appears like a grandmother to most but special people can see her true form as a beautiful young woman she runs a strange little coffee shop tucked away in the mountains that serves special handground coffee when she gets a feeling that one of two men visiting her coffee shop from seoul is her reincarnated husband she decides to follow them to seoul to find out
57,57,Itâ€™s My Life,"['Melodrama', 'Family']",,nan
