,Title,Genre,Network,Summary
831,The Strongest K-POP Survival,"['Musical', 'Romance']",Channel A,"This drama is about the story that surrounding the idol stars.</p><p>Kang Woo Hyun (<a href=""http://star.koreandrama.org/?p=5974"" target=""_blank"">Park Yoo Hwan</a>) is a leader of the group M2 captivates fans with his killing smile.</p><p>Ji Seung Yeon (<a href=""http://star.koreandrama.org/?p=705"" target=""_blank"">Go Eun Ah</a>) dreams of turning into a legend of the hip-hop. she has to dress up like a man to join a menâ€™s idol group.</p><p>Kang Chang Min (<a href=""http://star.koreandrama.org/?p=20510"" target=""_blank"">Kevin</a>) thinks that the world turns around it, and dreams of being a soloist of ballads.</p><p>Ri Ah (<a href=""http://star.koreandrama.org/?p=20141"" target=""_blank"">Kim Eun Jung</a>) is a great celebrity that represents the whole nation."
832,Hero,['Comedy'],,"Hero is the story of Koreaâ€™s top reporters and ordinary citizens fighting against the society eliteâ€™s abuse of power. Jin Do Hyuk is a clever and talented reporter who ends up living a life of recklessness and despair when the woman he loved dies. He later decides to start a new life by helping other victims of societyâ€™s crimes, becoming a modern hero who battles against the non-ethical."
833,Immortal Classic,['drama'],Channel A,A â€˜Kimchiâ€™ drama that is being attempted at for the first time in the country about a fight over the position for the greatest cook and the greatest cooking assistant.
834,Dummy Mommy,"['Family', 'Comedy']",SBS,"â€œDummy Mommyâ€ is a story about a tale of love, conflict and reconciliation between three women of different generations.</p><p>Kim Young Joo (<a href=""http://star.koreandrama.org/?p=358"" target=""_blank"">Kim Hyun Joo</a>), a genius with an IQ of 200 and the youngest editor of a leading fashion magazine, is constantly embarrassed by her dim-witted mother, who has an IQ of 56. Ashamed of her motherâ€™s intellectual disability and suffocated by her affection, Young Joo runs away to get married and leaves her mother behind. Young Joo, in turn, gives birth to her own daughter and finds herself in a different position."
835,21st Century Family,"['Family', 'Comedy']",tvN,This drama tell the real story of Korean family who live in 21st century.
836,The Shining Hour in Life,['Family'],KBS2,"A story about a girl who has to care for her sister, who is sick with leukemia.</p><p><strong>Main Cast</strong></p><p><a href=""http://star.koreandrama.org/?p=3799"" target=""_blank"">Yeo Min Joo</a> as Seo Yeon<br/> <a href=""http://star.koreandrama.org/?p=20821"" target=""_blank"">Kim Hee Jung</a> as Seo Jung<br/> <a href=""http://star.koreandrama.org/?p=14731"" target=""_blank"">Kim Do Yun</a> as Sin Hyo<br/> Kim Seul Ong as Gi Ryun<br/> <a href=""http://star.koreandrama.org/?p=8825"" target=""_blank"">Cha Kwang Soo</a> as Chul Young<br/> <a href=""http://star.koreandrama.org/choi-na-moo/"" target=""_blank"">Choi Na Moo</a> as Eun Hye<br/> Ha Min ji as Seo Yeonâ€™s friend<br/> Kim Jung Woo as Gi Ryunâ€™s band member<br/> <a href=""http://ko.wikipedia.org/wiki/%ED%86%A1%EC%8B%9D"" target=""_blank"">Bandtoxic</a><br/> <a href=""http://star.koreandrama.org/?p=2510"" target=""_blank"">Yoo Tae Woong</a> as Doctor <em>(cameo)</em><br/> <a href=""http://star.koreandrama.org/?p=1390"" target=""_blank"">Yoon Ah Jung</a> as Seo Jungâ€™s home room teacher <em>(cameo)</em></p><p><strong>Production Credits</strong></p><p>Director: Kim Won Yong<br/> Scriptwriter: Kim Hyo Sun</p><p><strong>Poster</strong></p><p><a href=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-Poster-1.jpg""><img alt="""" class=""alignnone size-thumbnail wp-image-17135"" height=""150"" sizes=""(max-width: 103px) 100vw, 103px"" src=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-Poster-1-103x150.jpg"" srcset=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-Poster-1-103x150.jpg 103w, https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-Poster-1-206x300.jpg 206w, https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-Poster-1.jpg 550w"" title=""The Shining Hour of Life Poster 1"" width=""103""/></a></p><p><strong>Related Photo</strong></p><p><a href=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-1.jpg""><img alt="""" class=""alignnone size-thumbnail wp-image-17136"" height=""150"" sizes=""(max-width: 99px) 100vw, 99px"" src=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-1-99x150.jpg"" srcset=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-1-99x150.jpg 99w, https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-1-199x300.jpg 199w, https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-1.jpg 600w"" title=""The Shining Hour of Life 1"" width=""99""/></a> <a href=""https://www.koreandrama.org/wp-content/uploads/2012/03/The-Shining-Hour-of-Life-2.jpg""><img alt="""" class=""alignnone size-thumbnail wp-image-17137"" height=""150"" sizes=""(max-width: 99px) 100vw, 99px"" src=""https://www.koreandrama.org/wp-content/uploads/2012/03/The-Shining-Hour-of-Life-2-99x150.jpg"" srcset=""https://www.koreandrama.org/wp-content/uploads/2012/03/The-Shining-Hour-of-Life-2-99x150.jpg 99w, https://www.koreandrama.org/wp-content/uploads/2012/03/The-Shining-Hour-of-Life-2-199x300.jpg 199w, https://www.koreandrama.org/wp-content/uploads/2012/03/The-Shining-Hour-of-Life-2.jpg 600w"" title=""The Shining Hour of Life 2"" width=""99""/></a> <a href=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-3.jpg""><img alt="""" class=""alignnone size-thumbnail wp-image-17138"" height=""150"" sizes=""(max-width: 99px) 100vw, 99px"" src=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-3-99x150.jpg"" srcset=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-3-99x150.jpg 99w, https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-3-199x300.jpg 199w, https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-3.jpg 600w"" title=""The Shining Hour of Life 3"" width=""99""/></a> <a href=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-4.jpg""><img alt="""" class=""alignnone size-thumbnail wp-image-17139"" height=""150"" sizes=""(max-width: 99px) 100vw, 99px"" src=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-4-99x150.jpg"" srcset=""https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-4-99x150.jpg 99w, https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-4-199x300.jpg 199w, https://www.koreandrama.org/wp-content/uploads/2012/02/The-Shining-Hour-of-Life-4.jpg 600w"" title=""The Shining Hour of Life 4"" width=""99""/></a></p><p><a href=""http://www.kbs.co.kr/drama/series2/special/shining/"" target=""_blank"">Official Site</a></p><p><a href=""http://www.youtube.com/watch?v=NY6xBDQZB5Q"" target=""_blank"">Trailer</a></p><p>Watch Online with English, Chinese &amp; Other Subtitle (Coming Soon)</p><div class=""sharedaddy sd-sharing-enabled""><div class=""robots-nocontent sd-block sd-social sd-social-icon sd-sharing""><h3 class=""sd-title"">Share this:</h3><div class=""sd-content""><ul><li class=""share-facebook""><a class=""share-facebook sd-button share-icon no-text"" data-shared=""sharing-facebook-16614"" href=""https://www.koreandrama.org/the-shining-hour-in-life/?share=facebook"" rel=""nofollow noopener noreferrer"" target=""_blank"" title=""Click to share on Facebook""><span></span><span class=""sharing-screen-reader-text"">Click to share on Facebook (Opens in new window)</span></a></li><li class=""share-twitter""><a class=""share-twitter sd-button share-icon no-text"" data-shared=""sharing-twitter-16614"" href=""https://www.koreandrama.org/the-shining-hour-in-life/?share=twitter"" rel=""nofollow noopener noreferrer"" target=""_blank"" title=""Click to share on Twitter""><span></span><span class=""sharing-screen-reader-text"">Click to share on Twitter (Opens in new window)</span></a></li><li class=""share-end""></li></ul></div></div></div></div>"
837,Can Love Become Money,['Romance'],MBN,"This drama is about a young CEO, Ma In Tak (<a href=""http://star.koreandrama.org/?p=4"" target=""_blank"">Yun Jung Hoon</a>) who considers MONEY is the most important thing in his life. He calculates everything in terms of MONEY and his success has also earned him the reputation of being a tyrant.</p><p>The CEO finds himself entangled in a strange conspiracy due to his obsession with MONEY and after that he found something which is more important than MONEY."
838,A Wifeâ€™s Credentials,['Melodrama'],jTBC,
839,Ordinary Love,['Romance'],KBS2,"Han Jae Gwang (<a href=""http://star.koreandrama.org/?p=8553"" target=""_blank"">Yun Woo Jin</a>) is a tour writer. He approaches Kim Yoon Hye (<a href=""http://star.koreandrama.org/?p=1173"" target=""_blank"">Yoo Da In</a>), the daughter of a man who killed his older brother. However, they fall in love each other after that."
840,Yellow Boots,['melodrama'],tvN,"This drama is about the revenge of a woman who lost everything because of fake accusation.</p><p>Seo Yeon Hwa (<a href=""http://star.koreandrama.org/?p=635"" target=""_blank"">Lee Yoo Ri</a>) is a nice girl who her life is turned down by her stepsister because being framed as a murderer. Choi Kang Wook (<a href=""http://star.koreandrama.org/?p=142"" target=""_blank"">Jung Chan</a>) who grew up abroad and lived in loneliness because of hidden family problems. He fells pity for Seo Yeon Hwa and helps her. Ha Yun Jae (<a href=""http://star.koreandrama.org/?p=5765"" target=""_blank"">Hyun Woo Sung</a>) is Seo Yeon Hwaâ€™s first love but they become enemy because of some reason."
841,I Need a Fairy,['sitcom'],KBS2,"â€˜I Need a Fairyâ€™ will be a comprehensive description of Korean women love and desire. This drama to be known as korean version of â€˜<em><a href=""http://en.wikipedia.org/wiki/Sex_and_the_City"" target=""_blank"">Sex and the City</a></em>â€˜</p><p>Two beautiful angel falling from the heaven and become a mother and daughter. This sitcom show how they deal with their new life."
842,Unexpected You,['Family'],KBS2,"This drama tells the story of TV drama director Yoon Hee (<a href=""http://star.koreandrama.org/?p=796"" target=""_blank"">Kim Nam Joo</a>) and Surgeon Gwi Nam (<a href=""http://star.koreandrama.org/?p=859"" target=""_blank"">Yoo Joon Sang</a>) after they get married but meets her unbelievable mother-in-law (<a href=""http://star.koreandrama.org/?p=591"" target=""_blank"">Yoon Yeo Jung</a>)."
843,Twelve Men in a Year,['Romance'],tvN,"This Drama is about Mi Roo, a 29 years old ordinary staff writer for the magazine.</p><p>The drama telling the story how she fails to deliver a column of magazine, and then she decided to starts a dating column by dating with twelve men for each astrological sign in the calendar."
844,Syndrome,"['Medical', 'Thriller']",jTBC,"Syndrome is a medical thriller drama set in the neurosurgery departments.</p><p>A family of surgeons with complicated ties perch at the top of the hospital hierarchy, with son Cha Yeo Wook deciding to follow in his parentsâ€™ footsteps by becoming a neurosurgeon. Lee Hae Jo (<a href=""http://star.koreandrama.org/?p=416"" target=""_blank"">Han Hye Jin</a>) is a talented intern who joins the department despite having a less priviledged background than Cha Yeo Wook (<a href=""http://star.koreandrama.org/?p=877"" target=""_blank"">Song Chang Ui</a>), and the two develop a bickering friendship while the mysterious doctor Kang Eun Hyun (<a href=""http://star.koreandrama.org/?p=47"" target=""_blank"">Park Gun Hyung</a>) also shows an interest in Hae Jo."
845,Little Girl Detective,['Comedy'],KBS2,"This drama special is about a passionate policeman Choi Tae Pyung (<a href=""http://star.koreandrama.org/?p=9491"" target=""_blank"">Kim Joo Young</a>) and an ill-tempered genius girl Park Hae Sol (<a href=""http://star.koreandrama.org/?p=1243"" target=""_blank"">Nam Ji Hyun</a>) who reveals the truth of her fatherâ€™s death."
846,God of War,"['Period', 'historical']",MBC,"This drama is a about a man who was born to the slave class during the Goryeo Dynasty, overruling the feudalist government that had been in power for over 60 years and becomes the most powerful man in the country."
847,Operation Proposal,"['Romance', 'Fantasy', 'Time-Travel']",CSTV,"The drama has themes of time-travel and is basically about a character who gets to travel back in time to protect his first love.</p><p>Kang Baek Ho (<a href=""http://star.koreandrama.org/?p=1513"" target=""_blank"">Yoo Seung Ho</a>) and Ham Yi Seul (<a href=""http://star.koreandrama.org/?p=6073"" target=""_blank"">Park Eun Bin</a>) have been best friends since they met first time at the age of 8. They attended the same elementary school, middle school and high school. After they graduated from college and went on to work in different fields, they have remained best friends.</p><p>On February 14, 2012, Yi Seul gets married to Jin Won (<a href=""http://star.koreandrama.org/?p=1110"" target=""_blank"">Lee Hyun Jin</a>), a high school baseball coach Baek Ho played for. During the wedding, Baek Ho is overcome with regret for never expressing his true feelings to Yi Seul, even though he has had 20 years.</p><p>Yi Seulâ€™s mother then asks Baek Ho to carry Yi Seulâ€™s stuff to Jin Wonâ€™s car. While carrying the boxes, Baek Ho drops a box and discovers a letter. The envelope is addressed to Baek Ho from Yi Seul. Baek Ho slips the envelope into his jacket. After the wedding, Baek Ho walks over to a nearby playground. Baek Ho sits on a swing and begins to read the letter. The letter was written after they graduated from middle school. Yi Seul writes that she felt Baek Ho was a special person from the first time they met and she has liked him since. Baek Ho feels is overcome with his emotions and wails uncontrollably.</p><p>A man (<a href=""http://star.koreandrama.org/?p=5760"" target=""_blank"">Kim Tae Hoon</a>) walks over and hands him a handkerchief. The man introduces himself as a â€œtime coordinatorâ€. He states that he can control time and space. Baek Ho, at first, thinks the guy is nuts, but with just a hand gesture the man makes everyone on the playground freeze. Baek Ho asks the man what he wants from him and the man turns his questions around to ask, â€œmore importantly, what do you want from me?â€ Baek Ho tells the man that he wants to go back in time to change his present situation.</p><p>The next moment, Baek Ho finds himself in his room with the time conductor. The man gives him a small bottle of liquid and then he disappears. Baek Ho looks at some old pictures taken with Ye Seul and notices how sad she looks. He decides that he wants to make her happy. Baek Ho then drinks the liquid â€¦"
848,Korean Peninsula,"['political', 'action', 'war', 'romance']",CSTV,A blockbuster political drama based on a reunified Korean Peninsula about the powers fighting over the countryâ€™s natural resources.
849,Feast of the Gods,"['romance', 'comedy']",MBC,"A drama about Korean cuisine.</p><p>Set within the backdrop of a traditional royal cuisine restaurant named Arirang, â€œFeast of the Godsâ€ depicts how two women grow as chefs through competitions with each other."
850,Dream High (Season 2),"['School', 'musical', 'comedy', 'romance']",KBS2,"â€œDream High Season 2â€ will follows idol stars heading out to find their hopes and dreams. This Drama will deal with new students instead of the first batch student.</p><p>Kirin High School of Art has been taken over by Oz Entertainment because of financial bankruptcy. Oz Entertainment then transfers over its own idol stars to Kirin High to avoid a law requiring under age entertainers to study for a set time. Competition then brews between troubled students at Kirin High School of Art and then newly transfered idols from Oz Entertainment.</p><p>Shin Hye Sung (<a href=""http://star.koreandrama.org/?p=6394"" target=""_blank"">Kang So Ra</a>) enters Kirin High School of Art with a high written exam score, but poor performance score. She then meets fellow students Jin Yoo Jin (<a href=""http://star.koreandrama.org/?p=15484"" target=""_blank"">Jin Woon</a>) and JB, who makes her realize how fun music can be. Jin Yoo Jin acted when he was a child. Now, he is a troubled student dreaming of becoming a rock star. He attempts to cure his pain caused by his parentâ€™s divorce through music."
851,Shut Up Flower Boy Band,"['Youth', 'Romance', 'Drama']",tvN,"This is a story about a high school rock band and how they deal with friendship, love and their passion for music."
852,Salamander Guru and the Gang,"['Sitcom', 'Comedy']",SBS,"Genius hacker with social phobia Min Hyuk, whose father is a computer genius, played with a computer like a toy from when he was little. He grew up learning hacking skills through his dad who was terminally ill and ran an illegal gambling place for his familyâ€™s future. After his dad passed away, Min Hyuk was adopted abroad. He immersed himself in playing with computer and got social phobia. When he turns 20, he returns to Korea and starts chasing the guy X who drove his dad to death. Following clues from his memories, he finds Salamander Guruâ€™s fortune telling house and meets Sun Dal and Won Sam. To find Salamander Guru who knows the secrets of X, Min Hyuk has no choice but to help the fake gurus. With his brain and excellent hacking skills, Min Hyuk controls Sun Dal behind a mirror and finds codes his dad left by recalling his childhood memories one by one. Min Hyuk, who has been secretive with social phobia, gradually becomes more open while living with Sun Dal and Won Sam."
853,Dad Says I am Sorry,['Family'],CSTV,"A 3 episode drama in celebration of establishing general service channel, Chosun TV.</p><p>This drama special aired during the lunar new year."
854,I Remember You,"['Romance', 'Family']",SBS,A drama that revolves around the love and friendship of three high school friends.
855,Glowing She,"['Romance', 'Comedy']",KBS-N,"This drama is about the events that happen in a broadcasting company.</p><p>This drama also focus on the love triangle between the three main characters. Kang Min (<a href=""http://star.koreandrama.org/?p=14960"" target=""_blank"">Kim Hyung Jun</a>), a top star in the Korean entertainment business who is a bit temperamental. No Yong Woo (<a href=""http://star.koreandrama.org/?p=41"" target=""_blank"">Park Kwang Hyun</a>), a well-known producer and Jun Ji Hyun (<a href=""http://star.koreandrama.org/?p=262"" target=""_blank"">So Yi Hyun</a>), a newly minted scriptwriter."
856,Wild Romance,"['Romance', 'Comedy']",KBS2,This drama tells a love story between a baseball player and a female guard who is a former judo athlete.
857,The Moon That Embraces the Sun,"['Romance', 'Fantasy', 'Period']",MBC,"â€œThe Moon Embracing The Sunâ€ tells a love story between King Lee Hwon and a female shaman named Wol. Wol was born from a noble family and became the crown princess, but she was entrapped and faced execution. Finally, she lived as a shaman."
858,"Take Care of Us, Captain",['Romance'],SBS,"The drama began filming with location shoots in Australia and unfolds around the character growth, careers, and romances of those working at an airport.</p><p>Kim Yoon Sung is the talented pilot of a passenger airline who gets saddled with a new co-pilot , Han Da Jin in her attempts to become a pilot.</p><p>The pair gets caught in a love triangle with Kang Dong Soo who is an air traffic controller at Incheon International Airport with seven years of experience under his belt. Heâ€™s prickly and cool, but possesses a cute, playful side that sometimes crops up."
859,Salaryman,"['melodrama', 'Comedy']",SBS,"This drama is based of â€˜<a href=""http://en.wikipedia.org/wiki/The_Romance_of_the_Three_Kingdoms"" target=""_blank"">The Romance of the Three Kingdoms</a>â€˜ in set dark world of Salaryman workers.</p><p>This drama depicts the trial and tribulations of the average salaryman, from humble beginnings to success. This drama portray the salarymanâ€™s loneliness and isolation, struggles, sorrows, hopes and successes in a realistic light.</p><p>One night Yoo Bang (<a href=""http://star.koreandrama.org/?p=913"" target=""_blank"">Lee Bum Soo</a>) enters a dark, mysterious villa with nothing but a flashlight, only to find an executive of the Chunha Medical Group, Ho Hae slouched in a chair, dead and Jin Ho Haeâ€™s niece, Yeo Chi (<a href=""http://star.koreandrama.org/?p=376"" target=""_blank"">Jung Ryu Won</a>) hiding behind a curtain. At Ho Haeâ€™s funeral, Yoo Bang and Yeo Chi are suddenly taken into custody for his murder. Weâ€™re taken three months into the past to reveal what led to this murder and exactly who was responsible. During this flashback we meet Choi Hang Woo (<a href=""http://star.koreandrama.org/?p=1071"" target=""_blank"">Jung Gyu Woon</a>), a director from Ho Haeâ€™s rival pharmaceutical company, who is undercover to steal the formula for their new drug and the Chief Researcher from Chunha Group, Cha Woo Hee (<a href=""http://star.koreandrama.org/?p=697"" target=""_blank"">Hong Soo Hyun</a>). The lives of these individuals will all be intertwined within these three months to reveal exactly just who murdered Ho Hae, and why. (<a href=""http://en.wikipedia.org/wiki/History_of_the_Salaryman"" target=""_blank"">Source</a>)"
860,Amore Mio,"['Mystery', 'Comedy']",KBS2,"â€˜Amore Mioâ€™ means â€˜my loveâ€™ or â€˜my belovedâ€™ in Italian language.</p><p>This is a mystery drama about Mi Rae, who is about to get married, tracking down her father Hae Changâ€™s past heâ€™s been hiding when she learns about a small piece of clue."
861,"www.koreandrama.org/2011-sbs-drama-awards-winners-list/"" rel=""bookmark"" title=""Permanent Link to 2011 SBS Drama Awards (Winners List)""> 2011 SBS Drama Awards (Winners List)",['NaN'],,
862,"www.koreandrama.org/2011-kbs-drama-awards-winners-list/"" rel=""bookmark"" title=""Permanent Link to 2011 KBS Drama Awards (Winners List)""> 2011 KBS Drama Awards (Winners List)",['NaN'],,
863,"www.koreandrama.org/2011-mbc-drama-awards/"" rel=""bookmark"" title=""Permanent Link to 2011 MBC Drama Awards (Winners List)""> 2011 MBC Drama Awards (Winners List)",['NaN'],,
864,Bachelorâ€™s Vegetable Store,"['Romance', 'Comedy']",Channel A,
865,Saving Madame Go Bong Shil,['Family'],CSTV,"A 50â€™ish woman Go Bong Shil lives peacefully in a country village in Namhae. After Go Bong Shilâ€™s husband passes away, her family faces bankruptcy. The family then moves to Seoul and settle down in Itaewon. This drama show how Go Bong Shil overcome this bad situation and then becomes a successful best selling writer."
866,Iâ€™m Alive,['Horror'],MBC,
867,Fermentation Family,"['Family', 'Romance']",jTBC,"Set within the famous Korean restaurant Chunjiin, known especially for their kimchi dish. Ki Ho Tae who grew up as an orphan, begins to work at the restaurant in search for his past. Lee Kang San is the owner of this restaurant dreams to be the best chef."
868,Padam Padamâ€¦ The Sound of His and Her Heartbeats,"['Romance', 'fantasy']",jTBC,
869,Color of Woman,"['Romance', 'Comedy']",Channel A,"A drama that contrasts a woman who succeeds with knowledge and reason and a woman who weaponizes appearance and sensitivity.</p><p>Byun So Ra comes from an ordinary background, but she works very hard. She is then betrayed by her boyfriend and her dreams of becoming a professor fails. Byun So-Ra then joins a cosmetics company and she also meets a rival with whom she clashes in this cosmetics company.</p><p>Jae Hee will play the leading man, Yoon Joon Soo. His character is a good looking, smart, and talented chaebol, as heâ€™s the head of this cosmetics company."
870,Vampire Idol,['Sitcom'],MBN,A naÃ¯ve vampire prince struggles to become a global pop idol in this melodramatic youth sitcom.
871,I Live in Cheongdam Dong,['Sitcom'],jTBC,"The events that happen while running a boarding house and a comic book store in a run down 2-story building located in an about-to-be redeveloped luxury street in Cheongdam Dong.</p><p>Ji Eun is thrilled to hear that her mother Hye Ja is moving to Cheongdam Dong neighborhood. Hye Ja &amp; Ji Eun lived in the suburbs for thier whole life. Ji-Eun dreams of living a luxurious life, but her reality is quite different. The house they move into is on the 2nd story of a building which looks like it will collapse. The first floor of the building is a comic book shop and the second floor is a lodging house. Their building is located between luxurious buildings in Cheongdam Dong neighborhood."
872,When Women Powder Twice,['Romance'],jTBC,"A drama about a woman who was adopted and went through several obstacles in life.</p><p>Soo Ji (<a href=""http://star.koreandrama.org/?p=1144"" target=""_blank"">Im Jung Eun</a>), who was adopted by an American couple, meets swindler Joon Soo (<a href=""http://star.koreandrama.org/?p=3777"" target=""_blank"">Kang Sung Jin</a>) and falls in love with him. Soo Ji gets pregnant, but Joon Soo runs back to Korea. Soo Ji decides to go to South Korea to find Joon Soo, but Soo Ji is abandoned by Joon Soo. By chance, Soo Ji happens to meet a wealthy young man named Young Woo (<a href=""http://star.koreandrama.org/?p=213"" target=""_blank"">Ahn Jae Mo</a>) and proceeds to pull off an elaborate hoax. In the process, Soo Ji falls in love with Young Wooâ€™s younger brother Sun Woo (<a href=""http://star.koreandrama.org/?p=6423"" target=""_blank"">Danny Ahn</a>)."
873,"Come, Come, Absolutely Come",['Sitcom'],MBN,Sitcom depicts the lives of two women and a man who live together in the same house.
874,For the Sake of Son,"['Romance', 'Fantasy', 'Period']",KBS2,Drama about a female spy from North Korea with a secret mission and a crime squad detective who falls in love with her without knowing who she is.
875,Whatâ€™s Up?,"['Music', 'romance', 'school']",MBN,
876,Queen Insoo,"['Drama', 'Historical']",jTBC,"The life of Queen Insoo from her childhood to adulthood as she ruled Joseon alongside her mother-in-law, Queen Junghee. A drama that starts with the 5th generation King Moon Jong to the 10th generation King Yeon San."
877,Bolder By the Day,['Sitcom'],MBN,The wife of an army commander is promoted to colonel before her husband gets a promotion. Their daughter is commissioned as a second lieutenant. â€œBolder By The Dayâ€ depicts a family who are all involved in the military.
878,Heavenâ€™s Garden,['Family'],Channel A,
879,Lights and Shadows,"['Drama', 'Comedy']",MBC,MBCâ€™s special 50th-anniversary drama production â€œLight and Shadowâ€ draws a manâ€™s up and down life with modern history as its background starting from the 1960s during the Vietnam War. Ahn Jae Wook will play the role of Kang Ki Tae who is the first national entertainer for soldiers in war fields.
880,Just Like Today,"['Romance', 'family']",MBC,"A family drama about a generation of young people who have their own concerns relating to employment and school fees, and three sets of couples who are hometown friends who wonder about the meaning of life."
881,Special Affairs Team TEN,"['Action', 'Crime']",OCN,"â€œSpecial Affairs Team TENâ€ is a criminal investigation unit that tackles the most violent crimes in South Korea. These crimes usually have less than a 10% rate for arrests. They chase the most notorious killers who attempt to commit the perfect crimes.</p><p>Yeo Ji Hoon (<a href=""http://star.koreandrama.org/?p=1036"" target=""_blank"">Joo Sang Wook</a>) is former top-notch detective, but now works as a professor. He then becomes the leader of Special Affairs Team TEN. Nam Ye Ri (<a href=""http://star.koreandrama.org/?p=1719"" target=""_blank"">Jo An</a>) has been a detective for 4 years. She joins Special Affairs Team TEN because of her psychological reasoning powers. Baek Do Sik (<a href=""http://star.koreandrama.org/?p=6584"" target=""_blank"">Kim Sang Ho</a>) is 24 year veteran detective. He possesses a keen sense of intuition, which he honed from his many years as a detective. Park Min Ho (<a href=""http://star.koreandrama.org/?p=12406"" target=""_blank"">Choi Woo Sik</a>) is a new detective. He joins Special Affairs Team TEN after impressing Professor Yeo Ji Hoon with his reasoning powers."
882,My Daughter The Flower,"['Romance', 'family']",SBS,
883,Brain,['MedicalDrama'],KBS2,"A drama that deals with the brain and neurosurgeons.</p><p>Lee Kang Hoon (<a href=""http://star.koreandrama.org/?p=28"" target=""_blank"">Shin Ha Kyun</a>), who graduated from the top medical school, works at the top hospital, and is the top neurosurgeon around. Basically, heâ€™s Brain No. 1. (And he works on brains, too!) He has ambitions to become the director at his university hospital. He is obsessed with success, which is probably both his greatest flaw and strength, since it makes him steely and fierce.</p><p>However, once he meets his sunbae Kim Sang Chul (<a href=""http://star.koreandrama.org/?p=1107"" target=""_blank"">Jung Jin Young</a>), the prickly genius doctor and world famous neurologist, he turns over a new leaf and becomes a sincere doctor. Seo Joon Suk (<a href=""http://star.koreandrama.org/?p=950"" target=""_blank"">Jo Dong Hyuk</a>) is a doctor and will become Lee Kang Hoonâ€™s rival. Yoon Ji Hye (<a href=""http://star.koreandrama.org/?p=707"" target=""_blank"">Choi Jung Won</a>) is also a neurosurgeon who grew up in an ordinary family. She is extremely strict in matters of work and study, but has a warm bedside manner with her patients."
884,"Me Too, Flower!","['Romance', 'Comedy']",MBC,A complex love story involving three women and one man.
885,Just You,"['Family', 'Romance']",,"A drama that draws the love of Ki Woon Chan, a high school-graduate struggling to find a job and Na Moo Goong Hwa, the only daughter of an amazingly rich family and the conflicts and reconciliation of their families."
886,TV Novel â€“ Bok Hee,['Romance'],KBS2,
887,The Servant,"['Romance', 'drama']",CGV,"A bold, cheeky and triangle love story surrounding Bang Ja, Chun Hyang and Mong Ryong."
888,Flower Boy Ramyun Shop,"['Romance', 'Comedy']",tvN,"This romantic comedy deals with â€œpretty boys,â€ who with good looks and individuality, operate a ramen shop with lively college girls and experience the happenings of daily life.</p><p>Yang Eun Bi is a University student preparing for her civil service exam with the dream of being a high school teacher. She accidentally encounters Cha Chi Soo, an arrogant son of the biggest food conglomerate in Korea. Cha Chi Soo looks cool, confident and fascinates women with his bright smile and pure love. Both of them ends up working at a ramen shop runned by the lazy Choi Kang Hyuk."
889,If Tomorrow Comes,"['Family', 'Romance']",SBS,"â€œIf Tomorrow Comesâ€ is about the love and conflict between a mother and daughter. Seo Woo takes on the role of kind-hearted college girl Yoon Eun chae, who thinks respecting your parents brings you happiness. The mother role will be played by Go Doo Sim."
890,Bride of the Sun,"['Romance', 'Family']",SBS,A drama based on the the story of former Dong Ah Constructions chairman and former KBS announcer Jang Eun-young. A woman gets married to a man who is old enough to be her grandfather when her lover leaves and her family struggle to make a living.
891,A Thousand Daysâ€™ Promise,"['Romance', 'melodrama']",SBS,
