,Actor,Shows
2537,Kim Min Suk (1990),"['The Beauty Inside', 'Because This Is My First Life', 'Age of Youth 2', 'Defendant', 'Doctors', 'Descendants of the Sun', 'Imaginary Cat', 'School 2015: Who Are You?', 'High School – Love On', 'Shut Up Flower Boy Band', '1st The Seoul Award', '2016 SBS Drama Award']"
2538,Kim Min Suk (1992),"['Top Star Yoo Baek', 'Your House Helper', 'My Mister', 'Strongest Deliveryman', 'The Liar and His Lover', 'The Gentlemen of Wolgyesu Tailor Shop', 'The Red Teacher']"
2539,Kim Min Sung,"['The 7th Day', 'Her Style', 'Queen of Ahyun']"
2540,Kim Moo Yul,"['Yoon Seung A', 'Bad Guys: City of Evil', 'My Beautiful Bride', 'Wife Returns', 'Iljimae', 'Chosun Police']"
2541,Kim Myung Gon,"['Your Honor', 'Misty', 'Deserving of the Name', 'Scholar Who Walks the Night', 'The King’s Face', 'Bridal Mask', 'Daewang Sejong']"
2542,Kim Myung Jun,['To Be Continued']
2543,Kim Myung Kook,"['Voice', 'Goodbye Mr. Black', 'Secret Door', 'Empress Ki', 'I Summon You, Gold!', 'King’s Dream', 'Ohlala Couple', 'Time Slip Dr. Jin', 'The True Colors', 'My Love By My Side', 'A Man Called God', 'Merchant Kim Man Deok', 'Take Care of the Young Lady', 'Cain and Abel', 'Empress Chun Chu', 'Life Special Investigation Team', 'Woman of Matchless Beauty, Park Jung Kum', 'Seoul’s Sad Song', 'Blissful Woman', 'Fugitive Lee Doo Young', 'Let’s Marry', 'Shin Don', 'The Immortal Lee Soon-Shin', 'Match Made in Heaven', 'Ruler of Your Own World']"
2544,Kim Myung Min,"['The Miracle We Met', 'Six Flying Dragons', 'A New Leaf', 'The King of Dramas', 'Beethoven Virus', 'White Tower', 'Bad Family', 'The Immortal Lee Soon-shin', 'More Beautiful Than A Flower', '2018 KBS Drama Award', '2018 KBS Drama Award', '2018 KBS Drama Award']"
2545,Kim Myung Soo (1966),"['Praise of Death', 'The Last Empress', 'Terius Behind Me', 'Sunny Again Tomorrow', 'Return', 'Ruler: Master of the Mask', 'Teacher Oh Soon Nam', 'Love is Drop by Drop', 'Monster', 'TV Novel – My Mind’s Flower Rain', 'Jang Yeong Sil', 'The Merchant: Gaekju 2015', 'TV Novel – In Still Green Days', 'The Three Musketeers Season 1', 'Pluto Secret Society', 'TV Novel – Land Of Gold', 'Jung Do Jun', 'Empress Ki', 'A Hundred Year’s Inheritance', 'Bridal Mask', 'Time Slip Dr. Jin', 'The Duo', 'Comrades', 'The Reputable Family', 'Empress Chun Chu', 'The Kingdom of The Winds', 'The King and I', 'Belle', 'Dae Jo Yeong', 'Shin Don', 'The Immortal Lee Soon-Shin', 'Mom’s Song']"
2546,Kim Nam Gil,"['The Fiery Priest', 'Deserving of the Name', 'Shark', 'Bad Guy', 'Personal Preference', 'Queen Seon Duk', 'Terroir', 'When Spring Comes', 'Lovers', 'Goodbye Solo', 'Be Strong Geum Soon']"
2547,Kim Nam Hee,"['Spring Turns to Spring', 'Mr. Sunshine']"
2548,Kim Nam Jin,"['Don’t Be Swayed', 'Fly High', 'New Wise Mother, Good Wife', 'Mermaid Story', 'Ice Girl', 'Tropical Nights in December', 'Prince’s First Love']"
2549,Kim Rae Won,"['Black Knight', 'Doctors', 'Punch', 'A Thousand Days’ Promise', 'Gourmet', 'What Star Did You Come From', 'Love Story in Harvard', 'Say You Love Me', 'Attic Cat', 'Snowman', 'My Love Patzzi', '2016 SBS Drama Award', '2015 SBS Drama Award', '2011 SBS Drama Award', '2011 SBS Drama Award']"
2550,Kim Ro Woon,"['Where Stars Land', 'About Time', 'School 2017', 'Click Your Heart']"
2551,Kim Roe Ha,"['Let Me Introduce Her', 'Whisper', 'Voice', 'The Sound of Your Heart', 'Jackpot', 'Late Night Restaurant', 'Shine or Go Crazy', 'Inspiring Generation', 'Shining Romance', 'King’s Daughter Soo Baek Hyang', 'Jeon Woo Chi', 'Lights and Shadows', 'Little Girl K', 'Comrade', 'Swallow the Sun', 'A Man’s Story', 'Hometown Legends', 'Iljimae', 'How to Meet a Perfect Neighbor', 'Money’s Warfare', 'Lovers', 'Special of My Life']"
2552,Kim Ryeo Wook,['Producer']
2553,Kim Sa kwon,"['Home for Summer', 'Sketch', 'Wok of Love', 'Avengers Social Club', 'My Golden Life', 'One More Happy Ending', 'Bubblegum', 'The Producers', 'Ex-Girlfriend Club', 'Illegal Parking', 'Mother’s Garden', 'Could We Love ?', 'Golden Time']"
2554,Kim San Ho,"['Home for Summer', 'Goodbye to Goodbye', 'Moon Lovers – Scarlet Heart: Ryeo', 'Rude Miss Young Ae 14', 'Surplus Princess', 'Let’s Eat', 'Monstar', 'Rude Miss Young-Ae 11', 'TV Novel – Dear Love', 'Rude Miss Young-Ae 10', 'Rude Miss Young-Ae 9', 'My Precious Child', 'Kimchi Cheese Smile', 'Look Back With a Smile', 'Mr Goodbye']"
2555,Kim Sang Ho,"['Mung Bean Flower', 'Kingdom', 'Lookout', 'Missing Nine', 'Let’s Fight Ghost', 'Lucky Romance', 'Babysitter', 'D-Day', 'Illegal Parking', 'Doctor Stranger', 'Wonderful Days', 'Sword and Flower', 'Special Affairs Team TEN 2', 'Unexpected You', 'Special Affairs Team TEN', 'City Hunter', 'Sparkling', 'Prosecutor Princess', 'Triple', 'My Precious Child', 'The Kingdom of The Winds', '2012 KBS Drama Award']"
2556,Kim Sang Joong,"['The Banker', 'Rebel: Thief Who Stole the People', 'Clocking Out', 'Jingbirok', 'Bad Guys', 'Doctor Stranger', 'A New Leaf', 'Golden Rainbow', 'The Master’s Sun', 'The Chaser', 'City Hunter', 'Life is Beautiful', 'Eight Days Mystery of Jeong Jo Assassination', 'My Man’s Woman', 'Goong', '2017 MBC Drama Award', '2014 MBC Drama Award', '2013 MBC Drama Award', '2012 SBS Drama Award']"
2557,Kim Sang Kyung,"['The Crowned Clown', 'Jang Yeong Sil', 'What’s With This Family?', 'White Christmas', 'Call of the Country', 'Daewang Sejong', 'Lawyers', '2014 KBS Drama Award', '2014 KBS Drama Award']"
2558,Kim Sang Woo,"['Come and Hug Me', 'Return', 'Six Flying Dragons', 'The Queen’s Classroom', 'A Little Love Never Hurts']"
2559,Kim Se Min,"['Iron Lady Cha', 'Apgujeong Midnight Sun', 'Princess Aurora', 'I Trusted Him ', 'Queen of Reversals', 'My Wife is a Superwoman', 'Song of the Prince']"
2560,Kim Seo Kyung,"['The Player', 'The Smile Has Left Your Eyes', 'Voice Season 2', 'Two Cops', 'Criminal Minds', 'Ruler: Master of the Mask', 'Ice Binggoo', 'Madame Antoine', 'Mrs. Cop 2', 'A Daughter Just Like You', 'Hwajung', 'The Three Musketeers Season 1', 'A New Leaf', 'Hyde, Jekyll and I', 'Inspiring Generation', 'When A Man Loves']"
2561,Kim Seung Chan,"['Healer', 'Jung Do Jun', 'TV Novel – Sam Saeng']"
2562,Kim Seung Dae,['TV Novel – That Sun in the Sky']
2563,Kim Seung Han,"['Handsome Guy and Jung Eum', 'Unni is Alive', 'Shopping King Louis', 'My Son-In-Law’s Woman']"
2564,Kim Seung Hoon,"['Item', 'Kingdom', 'Sketch', 'Tomorrow With You', 'Defendant', 'As Far as the Distance Dance', 'Vampire Detective', 'Oh My Ghost', 'Greatest Marriage', 'King of High School Life Conduct', 'My Daughter Seo Young']"
2565,Kim Seung Hwan,"['Bravo My Life', 'Witch’s Castle', 'Cheongdamdong Scandal', 'The Birth of a Family', 'The King of Dramas', 'My Daughter The Flower', 'Daughter in Law', 'Second Proposal']"
2566,Kim Seung Hyun,"['Bad Papa', 'Imjin War 1592', 'Fantasy Tower', 'Flames of Desire']"
2567,Kim Seung Min,"['Wonderful Life', 'Tropical Nights in December', 'She Is Nineteen', 'Something About 1%']"
2568,Kim Seung Soo,"['Are You Human Too?', 'First Love Again', 'Moonlight Drawn by Clouds', 'The Merchant: Gaekju 2015', 'Family Secrets', 'Will You Love and Give It Away?', 'Who Are You?', 'Cheongdamdong Alice', 'Still You', 'Just Like Today', 'King Gwanggaeto the Great', 'I Am Legend', 'Good Job, Good Job', 'City of Glass', 'Don’t Ask Me About the Past', 'Why Did You Come to My House', 'Kimcheed Radish Cubes', 'The Book of Three Han', 'Love Hymn', 'My Sweetheart My Darling', 'One Million Roses', '2017 KBS Drama Award']"
2569,Kim Seung Woo,"['Kim Nam Jo', 'Late Night Restaurant', 'IRIS 2', 'The 3rd Hospital', 'You Who Rolled In Unexpectedly', 'Miss Ripley', 'Athena: Goddess of War', 'Queen of Reversals', 'IRIS', 'Queen of Housewives', 'How to Meet a Perfect Neighbor', 'Special of My Life', 'Rosemary']"
2570,Kim Seung Wook,"['Doctor Prisoner', 'The Beauty Inside', 'Revolutionary Love', 'Lookout', 'TV Novel – Sea of the Woman', 'Six Flying Dragons', 'The Merchant: Gaekju 2015', 'Hwajung', 'Secret Door', 'Big Man', 'Angel Eyes', 'Jung Do Jun', 'The Heirs', 'Ugly Alert', 'TV Novel – Sam Saeng', 'Like A Miracle', 'Jeon Woo Chi', 'Little Girl Detective', 'The Moon That Embraces the Sun', 'Man of Honor', 'Protect the Boss', 'Stone', 'Jejoongwon', 'Partner', 'The Scale of Providence', 'When It’s At Night', 'Get Karl! Oh Soo Jung', 'Surgeon Bong Dal Hee', 'Just Run!', 'Hwang Jin Yi', 'The Invisible Man', 'Lovers in Prague', 'Oh! Pil Seung And Bong Soon Young', 'What Happened in Bali']"
2571,Kim Shi Hoo,"['Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Love Rain', 'The Secret of Keu Keu Island', 'Powerful Opponents']"
2572,Kim Soo Hyun (1988),"['Producer', 'You Who Came From the Stars', 'Dream High Season 2', 'The Moon That Embraces the Sun', 'Dream High Season 1', 'Giant', 'Father’s House', 'Will it Snow at Christmas?', 'Kimchi Cheese Smile', '2015 KBS Drama Award', '2015 KBS Drama Award', '2015 KBS Drama Award', '2014 SBS Drama Award', '2014 SBS Drama Award', '2014 SBS Drama Award', '2012 MBC Drama Award', '2012 MBC Drama Award', '2011 KBS Drama Award', '2011 KBS Drama Award', '2011 KBS Drama Award']"
2573,Kim Soo Hyun (1978),"['The Equator Man', 'The Fugitive: Plan B']"
2574,Kim Soo Ro,"['Please Come Back, Mister', 'Reply 1988', 'You Who Came From the Stars', 'A Gentleman’s Dignity', 'God of Study', 'Fight', 'Thank You', '2012 SBS Drama Award']"
2575,Kim Suk,"['Queen Seon Duk', 'The Legend', 'Dae Jo Yeong', 'The Book of Three Han', 'Goong', 'Seoul 1945', 'Ballad Of Suh Dong', 'Land', 'Jang Gil San']"
2576,Kim Suk Hoon,"['Mom', 'Ruby’s Ring', 'Sparkling', 'Empress Chun Chu', 'Blissful Woman', 'The Secret Lovers', 'Han River Ballad', 'Into the Storm', '2013 KBS Drama Award', '2011 MBC Drama Award']"
2577,Kim Sul Jin,['The Black Knight']
2578,Kim Sun Bin,"['Woman of Dignity', 'Missing Noir M']"
2579,Kim Sun Ho,"['Eulachacha Waikiki 2', 'Feel Good To Die', '100 Days My Prince', 'You Drive Me Crazy!', 'Two Cops', 'Strongest Deliveryman', 'Chief Kim', '2017 MBC Drama Award', '2017 MBC Drama Award']"
2580,Kim Sun Hyuk,"['Something About 1%', 'Rosy Lovers', 'Hotel King', 'Mom is Pretty Too', 'Good Job, Good Job', 'Gourmet']"
2581,Kim Sung Bum,['Oh My Ghost']
2582,Kim Sung Chul,"['The Player', 'To. Jenny', 'Wise Prison Life']"
2583,Kim Sung Hoon,"['Confession', 'Miss Ma, Nemesis', 'Suits', 'My Golden Life', 'Chicago Typewriter', 'On the Way to the Airport', 'Madame Antoine', 'My Beautiful Bride']"
2584,Kim Sung Hwan,"['The Eccentric Daughter-in-Law', 'Please Marry Me', 'A Good Day for the Wind to Blow', 'Returned Earthen Bowl', 'I Hate You, But It’s Fine', 'The Age of Heroes']"
2585,Kim Sung Joo,"['Time of Miracle: Loss Time', 'The Greatest Love', '2009 Alien Baseball Team']"
2586,Kim Sung Ki,"['My Little Baby', 'Valid Love', 'Look Back With a Smile']"
2587,Kim Sung Kyu,['Kingdom']
2588,Kim Sung Kyum,"['Goblin', 'Always Spring', 'Temptation', 'Medical Top Team', 'Her Legend', 'My Love, Madame Butterfly', 'Still You', 'The Women of Our Home', 'Midas', 'Secret Garden', 'Queen of Housewives', 'Wife and Woman', 'East of Eden', 'The Lawyers of The Great Republic Korea', 'Gourmet', 'Who Are You?', 'Eight Days Mystery of Jeong Jo Assassination', 'Lobbyist', 'Kimcheed Radish Cubes', 'How to Meet a Perfect Neighbor', 'Dal Ja’s Spring', 'My Lovely Sam-Soon', 'Bad Housewife', 'Hong Kong Express', 'Ireland', 'Country Princess', 'Sunshine']"
2589,Kim Sung Kyun,"['The Fiery Priest', 'Untouchable', 'Moon Lovers – Scarlet Heart: Ryeo', 'Reply 1988', 'Cunning Single Lady', 'Answer Me 1994', 'I Hear Your Voice', '2016 tvN10 Award']"
2590,Kim Sung Min,"['The Three Musketeers Season 1', 'Potato Star 2013QR3', 'Can We Love?', 'Can’t Take it Anymore', 'Can We Get Married ?', 'Coffee House', 'The Reputable Family', 'Give Me Food', 'Queen of Housewives', 'Family’s Honor', 'On Air', 'Before and After: Plastic Surgery Clinic', 'Couple of Fantasy', 'Single Again', 'Lotus Flower Fairy', 'Bad Girls', 'Sourc']"
2591,Kim Sung Oh,"['A Korean Odyssey', 'Third-Rate My Way', '38 Task Force', 'Baek Hee Has Returned', 'She Was Pretty', 'Warm and Cozy', 'The Night Watchman', 'Inspiring Generation', 'When A Man Loves', 'Ghost', 'A Gentleman’s Dignity', 'Glory Jane @ Man of Honor', 'Myung Wol the Spy', 'Midas', 'Sign', 'Secret Garden', 'Giant', 'Father’s House', 'On Air', 'Chosun Police', 'Sad Love Song', '2017 KBS Drama Award', '2016 KBS Drama Award']"
2592,Kim Sung Soo,"['Should We Kiss First', 'Lovers in Bloom', 'Could We Love ?', 'My Love, Madame Butterfly', 'Suspicious Family', 'More Charming by the Day', 'My Precious Child', 'Bad Love', 'My Sister', 'Lawyers', 'Stained Glass', 'Full House', 'Say You Love Me']"
2593,Kim Sung Won,"['Sign', 'Smile, Dong Hae', 'Cute or Crazy', 'Second Proposal', 'Lovers in Paris', 'Perfect Love']"
2594,Kim Tae Gyum,"['Trot Lovers', 'Two Women’s Room', 'Princess Aurora', 'Fashion King']"
2595,Kim Tae Han (1969),"['Life on Mars', 'Manhole: Feel So Good', 'Strongest Deliveryman', 'Rebel: Thief Who Stole the People', 'Voice', 'Oh My Geum Bi', 'Secret', 'Awl', 'Triangle', 'House Mate', 'Advertising Genius Lee Tae Baek', 'Poseidon']"
2596,Kim Tae Han (1981),"['Heaven’s Promise', 'Eve’s Love', 'Great First Wives', 'Live Shock', 'Faith']"
2597,Kim Tae Hoon (1975),"['Kim Tae Wo', 'Let’s Hold Hands Tightly and Watch The Sunset', 'Live', '20th Century Boy and Girl', 'Lookout', 'Fantastic', 'Dear My Friends', 'One More Happy Ending', 'Reply 1988', 'Hidden Identity', 'My Love Eun Dong', 'Angry Mom', 'Bad Guys', 'Secret Door', 'Boy Meets Girl', 'Pure Love', 'Innocent Man', 'Operation Proposal', 'You’re So Pretty', 'King Geunchogo', 'You Are Very Good', 'Goodbye Solo']"
2598,Kim Tae Hoon (1966),"['Save the Family', 'My Life’s Golden Age']"
2599,Kim Tae Hwan,"['Bride of the Water God', 'Maids', 'Reset', 'Late Blossom', 'Stormy Lovers']"
2600,Kim Tae Hyun,['Haeundae Lovers']
2601,Kim Tae Hyung (1987),"['On the Way to the Airport', 'Melody of Love']"
2602,Kim Tae Hyung (V),['Hwarang: The Beginning']
2603,Kim Tae Joon,"['Kim Min H', 'Angel’s Revenge', 'Golden Rainbow', 'Shark', 'Cruel Palace – War of Flowers', 'Queen In-Hyun’s Man', 'Salamander Guru and The Shadow Operation Team', 'Smile Again']"
2604,Kim Tae Min,['Sunny Again Tomorrow']
2605,Kim Tae Woo,"['Kim Tae Hoo', 'Different Dreams', 'The Banker', 'Romance Is a Bonus Book', 'Secret Mother', 'Mystery Queen 2', 'The Most Beautiful Goodbye in the World', 'Black', 'My Wife’s Having an Affair this Week', 'Noodle Shop Woman', 'The Good Wife', 'Goodbye Mr. Black', 'Jingbirok', 'God’s Gift – 14 Days', 'That Winter, The Wind Blows', 'Pure Love', 'Dummy Mommy', 'God’s Quiz', 'Dae Mul', 'Tokyo Shower', '2015 KBS Drama Award']"
2606,Kim Tae Yool,"['Kingdom', 'Lovely Horribly', 'Mother', 'Children of A Lesser God', 'TV Novel – Sea of the Woman', 'Bride of the Water God', 'Black']"
2607,Kim Tae Yoon,"['109 Unusual Things Have Happened', 'What’s With Money?', 'Cheese in the Trap', 'Glamorous Temptation', 'Twenty Again', 'The Legend of the Witch', '3 Days', 'Reply 1994', '21st Century Family', 'Life is Beautiful', 'Couple of Fantasy']"
2608,Kim Tae Young,"['My Mother is a Daughter-In-Law', 'Bridal Mask', 'Blissful Woman', 'Bad Woman, Good Woman', 'My Rosy Life', 'Green Rose', 'Sorry I Love You']"
2609,Kim Won Hae,"['The Fiery Priest', 'Praise of Death', 'Clean With Passion For Now', 'The Player', 'Where Stars Land', 'The Ghost Detective', 'Life', 'Are You Human Too?', 'The Miracle We Met', 'A Poem a Day', 'Mystery Queen 2', 'Today I Grab the Tambourine Again', 'Black', 'While You Were Sleeping', 'Criminal Minds', 'Strong Woman Do Bong Soon', 'Tomorrow with You', 'Chief Kim', 'Hwarang: The Beginning', 'Drinking Solo', 'Monster', 'Signal', 'Sweet Savage Family', 'Fake Family', 'Misaeng', 'Modern Farmer', 'Age Ending in Nine Boy', 'King of High School Life Conduct', 'Reply 1994', 'Nine: 9 Times Time Travel', 'Queen In Hyun’s Man', '2018 KBS Drama Award', '2017 SBS Drama Award']"
2610,Kim Won Ho,"['Revolutionary Love', 'Strong Woman Do Bong Soon', 'Warm and Cozy', 'Jeon Woo Chi']"
2611,Kim Won Joon,"['You Who Came From the Stars', 'The Wedding Scheme', 'Unexpected You', 'Stormy Lovers', 'Scent of a Man']"
2612,Kim Won Suk,"['Strong Woman Do Bong Soon', 'Bird That Doesn’t Cry', 'If Tomorrow Comes', 'Wife Returns', 'The Painter of Wind', 'The Book of Three Han', 'I Really Really Like You']"
2613,Kim Woo Bin,"['Uncontrollably Fond', 'Love Cells', 'The Heirs', 'School 2013', 'To the Beautiful You', 'A Gentleman’s Dignity', 'Vampire Idol', 'Cupid Factory', 'White Christmas', 'Vampire Idol', '2013 SBS Drama Award', '2013 Apan Star Award']"
2614,Kim Woo Hyuk,"['Shall We Live Together', 'Weightlifting Fairy Kim Bok Joo', 'World Without Sympathy', 'Happy Home', 'A Daughter Just Like You']"
2615,Kim Woo Suk,"['Voice 3', 'Voice 2', 'Jackpot', 'Signal', 'Witch’s Castle', 'Last', 'In Still Green Days', 'Secret Door', 'The Temple', 'Bridal Mask', 'The Duo', 'Gumiho: Tale of the Fox’s Child']"
2616,Kim Wook,"['Bad Papa', 'Short', 'Local Hero', 'The Return of Hwang Geum Bok']"
2617,Kim Yang Woo,"['When Time Stops', 'My Sassy Girl', 'Romance Town', 'Tazza', 'Lobbyist']"
2618,Kim Ye Joon,"['Secret Mother', 'Mad Dog', 'Suspicious Partner', 'Circle', 'Rebel: Thief Who Stole the People', 'Hwarang: The Beginning', 'Weightlifting Fairy Kim Bok Joo', 'Wanted', 'Six Flying Dragons', 'Kill Me, Heal Me', 'Who Are You – School 2015', 'Mom', 'Mask', 'Mr. Back', 'Misaeng', 'The Night Watchman', 'You’re All Surrounded', 'God’s Gift – 14 Days', 'Your Lady']"
2619,Kim Yong Gun,"['Good Witch', 'Woman of Dignity', 'Cinderella and Four Knights', 'Marriage Contract', 'Kill Me, Heal Me', 'Iron Lady Cha', 'Mr. Back', 'Fated to Love You', 'What’s With This Family?', 'Doctor Stranger', 'Secret Love Affair', 'The Woman Who Married Three Times', 'Swine Escape', 'The Master’s Sun', 'Rascal Sons', 'Arang and the Magistrate', 'Ojakgyo Brothers', 'Indomitable Daughters-in-Law', 'Smile, Mom', 'Queen of Reversals', 'Golden Fish', 'A Man Called God', 'Swallow the Sun', 'Temptation of Wife', 'When It’s At Night', 'Mom Has Grown Horns', 'Even So Love', 'Mun Hee', 'Cloud Stairs', 'Let’s Marry', 'Precious Family', 'She is Cool', 'Breathless', 'Summer Scent', 'Romance']"
2620,Kim Yong Hee,"['Sketch', 'Age of Youth', 'My Love Eun Dong', 'Cunning Single Lady', 'Your Neighbor’s Wife', 'A Little Love Never Hurts', 'Unexpected You', 'Queen Insoo', 'Queen of Reversals', 'The Woman Who Still Wants To Marry', 'Queen of Housewives', 'Don’t Be Swayed', 'Air City', 'Me Ri, Dae Gu’s Attack and Defense Battle', 'Invincible Parachute Agent', 'The Book of Three Han', 'Sweet Spy']"
2621,Kim Yong Min,"['The End of the World', 'The Musical', 'When It’s At Night', 'White Tower']"
2622,Kim Yong Woon,"['Wise Prison Life', 'Temperature of Love', 'Falsify', 'Rebel: Thief Who Stole the People', 'Voice', 'Working Mom Parenting Daddy', 'Local Hero', 'The Merchant: Gaekju 2015', 'Yong Pal', 'God of War']"
2623,Kim Yoo Suk,"['Bad Guys: City of Evil', 'Sweet Home, Sweet Honey', 'Bird That Doesn’t Cry', 'Blood', 'Your Neighbor’s Wife', 'King’s Dream', 'Rooftop Prince', 'Syndrome', 'Gye Baek', 'Smile, Dong Hae', 'Dong Yi', 'White Lies', 'That Woman is Scary', 'Salt Doll', 'My Lovely Fool', 'Be Strong Geum Soon', 'Second Proposal', 'Love Rollercoaster']"
2624,Kim Yool Ho,"['Apgujeong Midnight Sun', 'Witch’s Romance', 'Hotel King', 'Shining Romance', 'Tasty Life']"
2625,Kim Yoon Sung,"['Strongest Deliveryman', 'The Full Sun', 'The Fugitive of Joseon', 'Glory Jane', 'Athena: Goddess of War', 'Friend, Our Legend']"
2626,Kim Yoon Tae,"['Everything Will Be OK', 'Jung Do Jun', 'Dream High', 'Rock Rock Rock', 'Smile, Dong Hae', 'IRIS', 'The Tale of Janghwa and Hongryeon']"
2627,Kim Young Bae,"['Women’s Secret', 'Thorn Flower', 'Dangerous Woman', 'The Princess’ Man', 'Thorn Birds', 'Sungkyunkwan Scandal']"
2628,Kim Young Choon,"['Strong Woman Do Bong Soon', 'Two Weeks', 'School 2013']"
2629,Kim Young Chul (1953),"['Lee Moon He', 'Criminal Minds', 'Father is Strange', 'Happy Home', 'Jang Yeong Sil', 'The Wind Blows to the Hope', 'The Full Sun', 'Wonderful Days', 'Sword and Flower', 'IRIS 2', 'Innocent Man', 'I’ll Give You The Stars and The Moon', 'The Equator Man', 'Dad Says I am Sorry', 'The Princess’ Man', 'Life is Beautiful', 'The Reputable Family', 'IRIS', 'Returned Earthen Bowl', 'Dae Wang Sejong', 'How Much Love', 'Seoul 1945', '2017 KBS Drama Award', '2012 KBS Drama Award']"
2630,Kim Young Chul (1974),"['Real School!', 'Love Needs a Miracle']"
2631,Kim Young Ho,"['Suits', 'Family Secrets', 'Empress Ki', 'Monstar', 'Queen Insoo', 'Scarlet Letter', 'Salt Doll', 'Looking For Dorothy', 'Second Proposal']"
2632,Kim Young Hoon,"['Confession', 'The Beauty Inside', 'Mad Dog', 'Yeah, That’s How It Is', 'Divorce Lawyer in Love', 'Pinocchio', 'Fated to Love You', 'A New Leaf', 'Ugly Alert', 'That Winter, The Wind Blows', 'Culprit Among Friends', 'Rascal Sons', 'Bridal Mask', 'Fermentation Family', 'Strawberry Ice Cream', 'That Man is There', 'Crime Squad', 'Home Sweet Home', 'You’re Beautiful', 'Spring Waltz']"
2633,Kim Young Jae (1975),"['Children of Nobody', 'Thirty But Seventeen', 'Mother', 'Oh My Geum Bi', 'Twenty Thousand Won to Pyongyang', 'You Are a Gift', 'Vampire Detective', 'Reset', 'A Cat! Meow', 'Cheo Yong', 'King’s Daughter Soo Baek Hyang', 'Pretty Man', 'Monstar', 'Lee Soon Shin is the Best', 'Childless Comfort', 'Ordinary Love', 'Amore Mio', 'Special Crime Squad MSS', 'Three Sisters', 'Don’t Hesitate', 'I Love You, Don’t Cry', 'Hometown Legends', 'My Sweet City', 'The Devil', 'A Love to Kill']"
2634,Kim Young Jae (1995),"['High School – Love On', 'Can’t Take It Anymore', 'My Daughter the Flower']"
2635,Kim Young Joon (1979),"['Glory of Youth', 'The King and I', 'The Devil', 'The Immortal Lee Soon-Shin']"
2636,Kim Young Joon (1980),"['Twelve Nights', 'Saimdang, Light’s Diary', 'The Flatterer', 'Pinocchio', 'Saving Madame Go Bong Shil', 'Prince’s First Love', 'Bodyguard']"
2637,Kim Young Kwang,"['The Secret Life of My Secretary', 'Room No. 9', 'Lookout', 'Sweet Stranger and Me', 'Go Ho, The Starry Night', 'D-Day', 'Pinocchio', 'Plus Nine Boys', 'Secret Love', 'Good Doctor', 'Birth Secret', 'Can We Get Married ?', 'Love Rain', 'Bachelor’s Vegetable Store', 'White Christmas', 'More Charming by the Day', 'Take Care of the Young Lady', 'Triple', 'The World That They Live In', '2014 SBS Drama Award']"
2638,Kim Young Min,"['Save Me 2', 'Hide and Seek', 'My Mister', 'Fantastic', 'Beethoven Virus', 'Super Rookie']"
2639,Kim Young Pil,"['The Banker', 'Life on Mars', 'Doubtful Victory', 'The Liar and His Lover', 'Woman with a Suitcase', 'Marriage Contract', 'The Queen’s Classroom', 'Soldier', 'Royal Family']"
2640,Kim Young Woong,"['Miss Ma, Nemesis', 'Lovely Horribly', 'Investigation Couple', 'Two Cops', 'Reunited Worlds', 'Ruler: Master of the Mask', 'Person Who Gives Happiness', 'Remember', 'Last', 'My Love Eun Dong', 'Yoo Na’s Street']"
2641,Kim Yun Woo,"['Hwayugi', 'Standby']"
2642,Kwak Do Won,"['The Strange Housekeeper', 'Good Doctor', 'Ghost', '2012 SBS Drama Award']"
2643,Kwak Dong Yun,"['My Strange Hero', 'My ID Is Gangnam Beauty', 'Radio Romance', 'Slow', 'Reunited Worlds', 'Third-Rate My Way', 'Goblin', 'Moonlight Drawn by Clouds', 'Master: God of Noodles', 'Pied Piper', 'Please Come Back, Mister', 'Puck!', 'Father', 'The Flatterer', 'Hwajung', 'Modern Farmer', 'Middle School Student A', 'Inspiring Generation', 'Adolescence Medley', 'Jang Ok Jung, Living in Love', 'You Who Rolled In Unexpectedly', '2014 KBS Drama Award']"
2644,Kwak Hee Sung,"['Single Wife', 'My Sassy Girl', 'Best Couple', 'The Eccentric Daughter-in-Law', 'Hyde, Jekyll and I', 'Secret Door', 'Melody of Love', 'Neighborhood Watch', 'Goddess of Marriage', 'Advertising Genius Lee Tae Baek', 'Korean Peninsula']"
2645,Kwak In Joon,"['Tunnel', 'Trace of the Hand', 'Strong Family 2017', 'Dear My Friends', 'Descendants of the Sun', 'Misaeng', 'Pitch-black Darkness', 'The Legendary Witch', 'You’re Only Mine', 'My Husband Got a Family', 'Gye Baek', 'Hot Blood', 'The Return of Iljimae', 'East of Eden']"
2646,Kwak Ja Hyung,"['The Player', 'Awl']"
2647,Kwak Jung Wook,"['Life on Mars', 'Darkness', 'God’s Gift – 14 Days', 'Sword and Flower', 'Adolescence Medley', 'School 2013', 'Shut Up Flower Boy Band', 'TV Novel – Bok Hee', 'White Christmas', 'Queen Seon Duk', 'The Devil', 'Resurrection', 'The Immortal Lee Soon-Shin']"
2648,Kwak Min Ho,"['Trap', 'The Flower in Prison', 'Jang Yeong Sil']"
2649,Kwak Min Suk,"['The Legendary Witch', 'You Are Only Mine', 'You Who Rolled In Unexpectedly', 'Soul', 'Friend, Our Legend', 'The Return of Iljimae', 'East of Eden', 'Life Special Investigation Team', 'Winter Bird']"
