,Actor,Shows
51,Ban Min Jung,"['Hwarang: The Beginning', 'TV Novel – That Sun in the Sky', 'Late Night Restaurant', 'Mother’s Choice', 'Golden Cross', 'Good Doctor', 'The Great Seer', 'Bridal Mask', 'You Who Rolled In Unexpectedly', 'The Beeper', 'Sweet Palpitations', 'Obstetrics and Gynecology Doctors', 'Dong Yi', 'Hometown Legends', 'Cain and Abel', 'Temptation of Wife', 'Family’s Honor', 'Life Special Investigation Team', 'On Air', 'Golden Era of Daughter in Law', 'Chosun Police', 'Yeon Gae Somun']"
52,Ban So Young,"['Happy Sisters', 'The Princess’ Man', 'Hometown Legends', 'Don’t Be Swayed', 'I’m Sam', 'Kid Gang']"
53,Bang Eun Hee,"['Gangnam Scandal', 'My Husband Oh Jak Doo', 'Reunited Worlds', 'Nameless Woman', 'Missing Nine', 'You Are a Gift', 'Beautiful Gong Shim', 'Blue Bird’s House', 'High Society', 'The Girl Who Can See Smells', 'Tomorrow Cantabile', 'Pluto Secret Society', 'A Witch’s Love', 'My Dad is a Nude Model', 'The Suspicious Housekeeper', 'Can’t Take it Anymore', 'Advertising Genius Lee Tae Baek', 'Childless Comfort', 'Time Slip Dr. Jin', 'Bride of the Sun', 'All My Love', 'Life is Beautiful', 'God of Study', 'Loving You a Thousand Times', 'Hometown Legends', 'Tempted Again', 'A Man’s Story', 'Returned Earthen Bowl', 'Life Special Investigation Team', 'Bad Love', 'Winter Bird', 'Legend of Hyang Dan', 'Mun Hee', 'The Vineyard Man', 'Golden Apple', 'Next', 'Precious Family', 'More Beautiful Than a Flower']"
54,Bang Joon Seo,"['Sungkyunkwan Scandal', 'Oh! My Lady', 'Obstetrics and Gynecology Doctors', 'Heading to the Ground', 'Queen of Housewives', 'You Are Very Good', 'Kimcheed Radish Cubes', 'My Love']"
55,Bang Soo Jin,"['A Korean Odyssey', 'Girls’ Generation 1979', 'Individualist Ms. Ji Young', 'Angel’s Revenge']"
56,BoA,"['My Wife’s Having an Affair this Week', 'Looking Forward to Romance', 'Athena: Goddess of War', '2013 KBS Drama Award', '2013 Korea Drama Festival Award 201']"
57,Bona,"['Your House Helper', 'Radio Romance', 'Girls’ Generation 1979', 'The Best Hit']"
58,Bonnie Kim,['More Charming by the Day']
59,Byun Jung Soo,"['Unni is Alive', 'Best Couple', 'I Have a Lover', 'The Legendary Witch', 'Ruby’s Ring', 'The Queen’s Classroom', 'Their Perfect Day', 'Manny', 'Please Marry Me', 'Pasta', 'Style', 'Last Scandal', 'Bad Couple', 'What’s Up Fox?', 'Three Wives', 'The Woman Who Wants to Marry', 'First Love', 'The Bean Chaff of My Life', 'Shoot for the Star']"
60,Byun Seung Mi,"['The Queen’s Classroom', 'What is Mom']"
61,Cao Lu,['Missing Nine']
62,Cha Chung Hwa,"['Black Knight', 'Black', 'Shopping King Louie']"
63,Cha Hwa Yun,"['Encounter', 'My Only One', 'Secret Mother', 'Hospital Ship', 'I’m Sorry Kang Nam Goo', 'Mrs. Cop 2', 'Mom', 'Family Secrets', 'My Secret Hotel', 'It’s Okay, That’s Love', 'Make a Wish', 'Big Man', 'A Well Grown Daughter, Hana', 'King’s Daughter Soo Baek Hyang', 'Will You Love and Give It Away?', 'Thorn Flower', 'Queen of Ambition', 'A Hundred Year’s Inheritance', 'Missing You @ I Miss You', 'Five Fingers', 'A Gentleman’s Dignity', 'The Wedding Scheme', 'The Equator Man', 'Come, Come, Absolutely Come', 'A Thousand Kisses', 'Protect the Boss', 'Thorn Birds', 'My Princess', 'I Am Legend', 'Jejungwon', 'Temptation of an Angel', 'City Hall', 'Aeja’s Older Sister, Minja', '2018 KBS Drama Award', '2015 MBC Drama Award', '2013 MBC Drama Award', '2011 MBC Drama Award']"
64,Cha Hyun Jung,"['Everything Kimchi', 'Pretty Man', 'Fantastic Tower', 'IRIS 2', 'When Women Powder Twice', 'Obstetrics and Gynecology Doctors', 'Hong Gil Dong', 'Goong S', 'The Bizarre Bunch', 'Let’s Go To The Beach']"
65,Cha Joo Ok,"['Good For You', 'Even So Love', 'Attic Cat']"
